"sampleID"	"preTrim"	"postTrim"	"mapped"
"252"	"32-39_S321_L006_R1_001"	1556125	1446291	1116595
"253"	"32-40_S324_L006_R1_001"	1817604	1702648	1262095
"254"	"32-50_S323_L006_R1_001"	1826822	1683720	1167560
"255"	"32-53_S318_L006_R1_001"	1948472	1785375	1313659
"256"	"32-54_S326_L006_R1_001"	1925581	1797940	1390615
"257"	"32-55_S331_L006_R1_001"	1853435	1707233	1362823
"258"	"35-11_S350_L006_R1_001"	1664418	1572102	1239368
"259"	"35-16_S355_L006_R1_001"	1870752	1771258	1391581
"260"	"35-22_S371_L006_R1_001"	1517920	1398802	1047484
"261"	"35-25_S232_L005_R1_001"	1699481	1383789	1002397
"262"	"35-38_S470_L007_R1_001"	1250014	1175563	904043
"263"	"35-55_S337_L006_R1_001"	1906989	1747149	1336081
"264"	"36-01_S377_L006_R1_001"	2155663	2010361	1469208
"265"	"36-04_S385_L006_R1_001"	1828889	1671600	1295664
"266"	"36-09_S387_L006_R1_001"	2034834	1759617	1369537
"267"	"36-12_S388_L006_R1_001"	1653406	1483912	1103232
"268"	"36-14_S389_L006_R1_001"	1443189	1330826	1023454
"269"	"36-15_S384_L006_R1_001"	1681489	1536529	1227802
"270"	"36-16_S386_L006_R1_001"	1883503	1656294	1242187
"271"	"36-18_S393_L006_R1_001"	1691669	1542785	1117919
"272"	"36-19_S395_L006_R1_001"	1736805	1542448	1220394
"273"	"36-20_S391_L006_R1_001"	1633219	1534699	1171119
"274"	"36-22_S392_L006_R1_001"	1598741	1470579	1151584
"275"	"36-23_S396_L006_R1_001"	1564832	1405357	1127954
"276"	"36-24_S394_L006_R1_001"	1720278	1561841	1210430
"277"	"36-32_S390_L006_R1_001"	1522227	1416043	1131909
"278"	"36-33_S407_L007_R1_001"	1703378	1567636	1282043
"279"	"36-35_S239_L006_R1_001"	3388646	3123592	2516269
"280"	"36-38_S406_L007_R1_001"	1859938	1714891	1306821
"281"	"36-39_S412_L007_R1_001"	2110856	1840847	1382393
"282"	"36-40_S409_L007_R1_001"	1827629	1611600	1117230
"283"	"36-50_S398_L006_R1_001"	1881650	1758766	1313297
"284"	"36-54_S402_L006_R1_001"	1868155	1705967	1115870
"285"	"36-55_S399_L006_R1_001"	1855148	1753873	1292467
"286"	"37-14_S375_L006_R1_001"	1726237	1602043	1273980
"287"	"37-16_S363_L006_R1_001"	1670217	1576047	1151920
"288"	"38-07_S453_L007_R1_001"	1487348	1388892	1089114
"289"	"38-11_S362_L006_R1_001"	1429763	1341648	974137
"290"	"38-14_S351_L006_R1_001"	1782045	1692368	1258555
"291"	"38-16_S352_L006_R1_001"	2160850	2035438	1527515
"292"	"38-39_S370_L006_R1_001"	1719900	1583058	1090900
"293"	"38-54_S225_L005_R1_001"	1749633	1546232	1152912
"294"	"38-55_S214_L005_R1_001"	1695686	1518569	1037858
